date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:00	296/296	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Oct%202020%2017:25:00%20GMT	http://localhost/robots.txt		(from )
13:25:07	102414/102414	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Oct%202020%2017:25:00%20GMT	http://localhost/website/wordpress/	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/index.html	(from )
13:25:09	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2012%20Oct%202020%2017:25:07%20GMT	http://localhost/website/wordpress/xmlrpc.php	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/xmlrpc.0.delayed	(from http://localhost/website/wordpress/)
13:25:09	53907/53907	---M--	200	added ('OK')	text/css	etag:%22d293-5addfb6b23d80%22	http://localhost/website/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.5.1	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-includes/css/dist/block-library/style.mind03b.css	(from http://localhost/website/wordpress/)
13:25:09	1920/1920	---M--	200	added ('OK')	text/css	etag:%22780-5b146cc4c1b31%22	http://localhost/website/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.2	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/contact-form-7/includes/css/stylesbb49.css	(from http://localhost/website/wordpress/)
13:25:12	881/881	---M--	200	added ('OK')	application/rss+xml	etag:%22db16efd79cd413716997960c5fbd6e3b%22	http://localhost/website/wordpress/feed/	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/feed/index.html	(from http://localhost/website/wordpress/)
13:25:12	1654/1654	---M--	200	added ('OK')	text/css	etag:%22676-5b02ee78e783c%22	http://localhost/website/wordpress/wp-content/plugins/dg-divi-carousel//styles/light-box-styles.css?ver=5.5.1	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/dg-divi-carousel/styles/light-box-stylesd03b.css	(from http://localhost/website/wordpress/)
13:25:12	775/775	---M--	200	added ('OK')	application/rss+xml	etag:%229919d64d8b463582be3fe2e98ba3ddc9%22	http://localhost/website/wordpress/comments/feed/	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/comments/feed/index.html	(from http://localhost/website/wordpress/)
13:25:12	19785/19785	---M--	200	added ('OK')	text/css	etag:%224d49-5b02ee78ec262%22	http://localhost/website/wordpress/wp-content/plugins/dg-divi-carousel//styles/swiper.min.css?ver=5.5.1	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/dg-divi-carousel/styles/swiper.mind03b.css	(from http://localhost/website/wordpress/)
13:25:12	794142/794142	---M--	200	added ('OK')	text/css	etag:%22c1e1e-5b155422cd9ff%22	http://localhost/website/wordpress/wp-content/themes/Divi/style.css?ver=4.6.4	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/themes/Divi/style82d0.css	(from http://localhost/website/wordpress/)
13:25:13	19746/19746	---M--	200	added ('OK')	text/css	etag:%224d22-5b02ee78ea72c%22	http://localhost/website/wordpress/wp-content/plugins/dg-divi-carousel/styles/style.min.css?ver=2.0.14	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/dg-divi-carousel/styles/style.min488e.css	(from http://localhost/website/wordpress/)
13:25:14	732120/732120	---M--	200	added ('OK')	text/css	etag:%22b2bd8-5b10a58a76043%22	http://localhost/website/wordpress/wp-content/plugins/divi-essential/styles/style.min.css?ver=1.0.0	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/divi-essential/styles/style.min8a54.css	(from http://localhost/website/wordpress/)
13:25:15	614/614	---M--	200	added ('OK')	text/css	etag:%22266-5b10a58a6d042%22	http://localhost/website/wordpress/wp-content/plugins/divi-essential/styles/admin-module.css	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/divi-essential/styles/admin-module.css	(from http://localhost/website/wordpress/)
13:25:15	66516/66516	---M--	200	added ('OK')	text/css	etag:%22103d4-5b10a58a6e77f%22	http://localhost/website/wordpress/wp-content/plugins/divi-essential/styles/animate.min.css	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/divi-essential/styles/animate.min.css	(from http://localhost/website/wordpress/)
13:25:17	15930/15930	---M--	200	added ('OK')	text/css	etag:%223e3a-5b10a58a777c1%22	http://localhost/website/wordpress/wp-content/plugins/divi-essential/styles/swiper.min.css	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/divi-essential/styles/swiper.min.css	(from http://localhost/website/wordpress/)
13:25:17	879/879	---M--	200	added ('OK')	text/css	etag:%2236f-5b10a58a7394e%22	http://localhost/website/wordpress/wp-content/plugins/divi-essential/styles/style.css	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/divi-essential/styles/style.css	(from http://localhost/website/wordpress/)
13:25:18	316425/316425	---M--	200	added ('OK')	text/css	etag:%224d409-5b02ee892c9a9%22	http://localhost/website/wordpress/wp-content/plugins/supreme-modules-pro-for-divi/styles/style.min.css?ver=3.7.2	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/supreme-modules-pro-for-divi/styles/style.minf3df.css	(from http://localhost/website/wordpress/)
13:25:19	59009/59009	---M--	200	added ('OK')	text/css	etag:%22e681-5aaa63de0f7c0%22	http://localhost/website/wordpress/wp-includes/css/dashicons.min.css?ver=5.5.1	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-includes/css/dashicons.mind03b.css	(from http://localhost/website/wordpress/)
13:25:21	17357/17357	---M--	200	added ('OK')	text/css	etag:%2243cd-5b16b539f4daa%22	http://localhost/website/wordpress/wp-content/plugins/divi-toolbox/cache/wp_dtb-style-6460149.css?ver=5.5.1	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/divi-toolbox/cache/wp_dtb-style-6460149d03b.css	(from http://localhost/website/wordpress/)
13:25:22	1696/1696	---M--	200	added ('OK')	application/javascript	etag:%226a0-5b02e35048178%22	http://localhost/website/wordpress/wp-content/themes/Divi/core/admin/js/recaptcha.js?ver=5.5.1	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/themes/Divi/core/admin/js/recaptchad03b.js	(from http://localhost/website/wordpress/)
13:25:22	6817/6817	---M--	200	added ('OK')	application/javascript	etag:%221aa1-5b02e350393b0%22	http://localhost/website/wordpress/wp-content/themes/Divi/core/admin/js/es6-promise.auto.min.js?ver=5.5.1	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/themes/Divi/core/admin/js/es6-promise.auto.mind03b.js	(from http://localhost/website/wordpress/)
13:25:23	8416/8416	---M--	200	added ('OK')	application/javascript	etag:%2220e0-5b10a58a6b0f4%22	http://localhost/website/wordpress/wp-content/plugins/divi-essential/scripts/wow.min.js	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/divi-essential/scripts/wow.min.js	(from http://localhost/website/wordpress/)
13:25:24	5725/5725	---M--	200	added ('OK')	application/javascript	etag:%22165d-5b10a58a22be5%22	http://localhost/website/wordpress/wp-content/plugins/divi-essential/includes/modules/NextTextAnimation/dnxt-text-animation.js	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-content/plugins/divi-essential/includes/modules/NextTextAnimation/dnxt-text-animation.js	(from http://localhost/website/wordpress/)
13:25:26	870/870	---M--	200	added ('OK')	text/xml	date:Mon,%2012%20Oct%202020%2017:25:25%20GMT	http://localhost/website/wordpress/xmlrpc.php?rsd	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/xmlrpc0db0.php	(from http://localhost/website/wordpress/)
13:25:26	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/website/wordpress/wp-includes/wlwmanifest.xml	D:/Other%20Downloads/Wordpress/website/HTTrack/portfolio%20website/localhost/website/wordpress/wp-includes/wlwmanifest.xml	(from http://localhost/website/wordpress/)
